"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Calderón-Almendros I.; Calderón-Almendros R.","Calderón-Almendros, Ignacio (49361015100); Calderón-Almendros, Rafael (57118351500)","49361015100; 57118351500","‘I open the coffin and here I am’: disability as oppression and education as liberation in the construction of personal identity","2016","Disability and Society","31","1","","100","115","15","12","10.1080/09687599.2015.1133400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958230854&doi=10.1080%2f09687599.2015.1133400&partnerID=40&md5=175772eadc1eea88515206e6b8ed2214","Department of Theory and History of Education, University of Malaga, Málaga, Spain; Malaga Music Conservatory, Málaga, Spain","Calderón-Almendros I., Department of Theory and History of Education, University of Malaga, Málaga, Spain; Calderón-Almendros R., Malaga Music Conservatory, Málaga, Spain","This article presents a case study focused on the experiences of Rafael, a resilient young musician. The research is based on 180 records made through interviews, focus groups, observations and documentary collection, involving 190 informants. The data analysis shows that social systems create subordinated and stigmatised conditions of experience for people with disabilities which lead to social exclusion and reification. This understanding of disability as oppression (which is the ‘coffin of the dead’) can be combated by means of education, understood as resistance to inequality. This can be effected by questioning the social order and power relationships, thus striving to produce the possibility of being a subject. In this way Rafael has been able to construct his identity relatively autonomously, challenging social mandates that led him to exclusion and denied his existence as a subject. In his own words: ‘I open the coffin and here I am’. © 2016 Taylor & Francis.","disability; education; identity; oppression; resilience; resistance","","I. Calderón-Almendros; Department of Theory and History of Education, University of Malaga, Málaga, Spain; email: ica@uma.es","","Routledge","09687599","","","","English","Disabil. Soc.","Article","Final","","Scopus","2-s2.0-84958230854"
"Cubeiro M.T.","Cubeiro, Manuel Torres (57205475256)","57205475256","The complexity of non-sense making: A proposal of complex medical sociology of mental disorders.; [La complejidad de construir el sin-sentido: Una propuesta para una sociología médica compleja de las dolencias mentales]","2018","Sociologia y Tecnociencia","8","2","","67","91","24","0","10.24197/st.2.2018.67-91","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060135079&doi=10.24197%2fst.2.2018.67-91&partnerID=40&md5=b90ebea137ace9f64b1b07f779bdf9d9","IES Campo San Alberto, Noia, Grupo Compostela de Estudio sobre los Imaginarios Sociales, Universidade de Santiago de Compostela, Spain","Cubeiro M.T., IES Campo San Alberto, Noia, Grupo Compostela de Estudio sobre los Imaginarios Sociales, Universidade de Santiago de Compostela, Spain","The article describes social complexity of the biographical accounts of those connected with a mental disorder diagnosis in Galicia, a Northwest Spanish Autonomous Community. 147 biographies associated with Mental Disorders diagnosis (MD) have been collected and gathered in three groups differently linked to these conditions. Our first group has lived with a diagnosis of MD for at least 10 years (65 interviews and data from 300 people). Our second cluster of people shares their lives with those with a MD diagnosis mainly with a family relative bound (19 interviews and data from 300 families). Our third group, gathers Galician mental health medical professionals from three mental health units and other mental health facilities which medically and administratively manage people with a MD diagnosis and their relatives (63 biographies). Using data from these biographies, we have constructed three interconnected biographical profiles early published (Torres Cubeiro 2009b) using a social systems theory approach based in Niklas Luhmann sociology. © 2018 Universidad de Valladolid. All rights reserved.","biographic method; Galicia; Medical sociology; mental disorders, Luhmann; social complexity; Spain","","M.T. Cubeiro; IES Campo San Alberto, Noia, Grupo Compostela de Estudio sobre los Imaginarios Sociales, Universidade de Santiago de Compostela, Spain; email: mtcubeiro@edu.xunta.es","","Universidad de Valladolid","19898487","","","","English","Sociol. Tecnocienc.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85060135079"
"Del Fresno García M.; Daly A.J.; Sánchez-Cabezudo S.S.","Del Fresno García, Miguel (56798187700); Daly, Alan J. (23972092100); Sánchez-Cabezudo, Sagrario Segado (55308230500)","56798187700; 23972092100; 55308230500","Identifying the new influencers in the internet era: Social media & social network analysis; [Identificando a los nuevos influyentes en tiempos de Internet: Medios sociales y análisis de redes socials]","2016","Revista Espanola de Investigaciones Sociologicas","153","","","23","42","19","62","10.5477/cis/reis.153.23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007428904&doi=10.5477%2fcis%2freis.153.23&partnerID=40&md5=b0e677f5fd126b42d239dae99863676e","Universidad Nacional de Educación a Distancia, Spain; University of California San Diego, United States","Del Fresno García M., Universidad Nacional de Educación a Distancia, Spain; Daly A.J., University of California San Diego, United States; Sánchez-Cabezudo S.S., Universidad Nacional de Educación a Distancia, Spain","Social media influencers (SMIs) can be defined as a new type of independent actor who are able to shape audience attitudes through the use of social media channels in competition and coexistence with professional media. Being able to accurately identify SMIs is critical no matter what is being transmitted in a social system. Social Network Analysis (SNA) has been recognized as a powerful tool for representing social network structures and information dissemination. SMIs can be identified by their high-ranking position in a network as the most important or central nodes. The results reveal the existence of three different typologies of SMIs: disseminator, engager and leader. This methodology permits the optimization of resources to create effective online communication strategies.","Media; Network analysis; Social communication; Social influence; Social networks","","","","Centro de Investigaciones Sociologicas","02105233","","","","English","Rev. Esp. Invest. Sociol.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85007428904"
"Fernandes V.; Rauen W.B.","Fernandes, Valdir (55617833600); Rauen, William Bonino (23668543000)","55617833600; 23668543000","Sustainability: An interdisciplinary field","2016","Fronteiras","5","3","","188","204","16","6","10.21664/2238-8869.2016v5i3.p188-204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007277348&doi=10.21664%2f2238-8869.2016v5i3.p188-204&partnerID=40&md5=a4c5831ef78b6d17fec9c264f2690e68","Universidade Tecnológica Federal do Paraná (UTFPR), Brazil; Universidade Positivo (UP), Universidade Federal do Paraná (UFPR), Brazil","Fernandes V., Universidade Tecnológica Federal do Paraná (UTFPR), Brazil; Rauen W.B., Universidade Positivo (UP), Universidade Federal do Paraná (UFPR), Brazil","Discussed herein is the interdisciplinary nature of the sustainability sciences field. Through a critical historical account of so-called rationalisation of life and science, it is recognised that the economic growth model that prevailed over the last few centuries led to a disjunctive dissociation of our social systems from the natural systems, which now figures as a root cause of unsustainability. The same rationalisation arguably provoked the fragmentation of knowledge into more and more specialised disciplines, as part of a scientific framework that cannot now be readily applied to deal with current pressing socioenvironmental problems. It is argued that interdisciplinarity is the only academic response capable of achieving the reintegration of knowledge required to address the sustainability paradigm, as compromises are sought between what is essential, desired and possible, both within and without academia. © 2016, OpenJournals Publishing. All rights reserved.","Applied science; Interdisciplinarity; Sustainability","","","","OpenJournals Publishing","22388869","","","","English","Front.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85007277348"
"Mayrl D.; Quinn S.","Mayrl, Damon (8201533500); Quinn, Sarah (56021410300)","8201533500; 56021410300","Defining the State from within: Boundaries, Schemas, and Associational Policymaking","2016","Sociological Theory","34","1","","1","26","25","40","10.1177/0735275116632557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962840557&doi=10.1177%2f0735275116632557&partnerID=40&md5=a3a0ff243c309d35c2a7a6a77a0dad1e","Department of Social Sciences, Universidad Carlos III de Madrid, Calle Madrid 126, Getafe, Madrid, 28903, Spain; University of Washington, Seattle, WA, United States","Mayrl D., Department of Social Sciences, Universidad Carlos III de Madrid, Calle Madrid 126, Getafe, Madrid, 28903, Spain; Quinn S., University of Washington, Seattle, WA, United States","A growing literature posits the importance of boundaries in structuring social systems. Yet sociologists have not adequately theorized one of the most fraught and consequential sites of boundary-making in contemporary life: the delineation of the official edges of the government - and, consequently, of state from society. This article addresses that gap by theorizing the mechanisms of state boundary formation. In so doing, we extend culturalist theories of the state by providing a more specific model of how the state-society boundary is produced. Further, we contribute to institutionalist accounts of politics by highlighting boundary-work during policy creation as a crucial site of political struggle, one with causal implications insofar as it illuminates a process that determines fine-grained distinctions in policy forms. © 2016 American Sociological Association.","boundaries; culture; politics; public policy; states","","D. Mayrl; Department of Social Sciences, Universidad Carlos III de Madrid, Getafe, Madrid, Calle Madrid 126, 28903, Spain; email: dmayrl@clio.uc3m.es","","SAGE Publications Ltd","07352751","","","","English","Sociol. Theory","Article","Final","","Scopus","2-s2.0-84962840557"
"Ocampo S.P.","Ocampo, Sergio Pignuoli (55443166700)","55443166700","Communication as an action and as an experience: An extended reformulation of the concept of self-simplification of social systems by Niklas Luhmann; [La comunicación como acción y como vivencia: Una reformulación ampliada del concepto de autosimplificación de sistemas sociales de Niklas Luhmann]","2018","Revista Mad","","39","","46","82","36","0","10.5354/0719-0527.2018.53284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117954106&doi=10.5354%2f0719-0527.2018.53284&partnerID=40&md5=6cf7b4251c35f7a2edb4254709cf6f61","CONICET, Universidad de Buenos Aires, Instituto de Investigaciones Gino Germani, Argentina","Ocampo S.P., CONICET, Universidad de Buenos Aires, Instituto de Investigaciones Gino Germani, Argentina","The present work presents, reconstructs and reformulates the concept of self-simplifying of social systems formulated by Luhmann s General Theory of Social Systems. For presentation, we expose the fundamental problem of the self-description of complex systems and the contribution of Hierarchy Theory through the pioneering concept of self-simplifying. For reconstruction, we identify the theoretical network that Luhmann developed between self-simplifying, action and presentation of itself and analyze, firstly, the evolution of these elements until Social Systems, and secondly its substantive relationship with the communication based on their functional orientation to the problem of the self-description of social systems. For its reformulation we present two hypotheses. The former is a critical hypothesis that calls into question the original formulation of Luhmann due its narrowness, reductionism and restricted. The latter is a propositive hypothesis that suggests a theoretical expansion of self-simplifying in connection with the distinction action/ experience and with the differentiation of attributions. © 2018 Universidad de Chile. All rights reserved.","Action / Experience; Communication; Niklas Luhmann; Self-simplification; Theory of social systems","","S.P. Ocampo; CONICET, Universidad de Buenos Aires, Instituto de Investigaciones Gino Germani, Argentina; email: spignuoli@conicet.gov.ar","","Universidad de Chile","07180527","","","","Spanish","Rev. Mad","Article","Final","","Scopus","2-s2.0-85117954106"
"Nieto Solís J.A.","Nieto Solís, José Antonio (57201428312)","57201428312","Crisis, role of the state and forecasts of economists; [La crisis, el papel del estado y las previsiones de los economistas]","2016","Revista de Economia Mundial","2016","44","","45","58","13","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044759097&partnerID=40&md5=093dfbe30a7a0bf727cd29d65526b715","Universidad Complutense de Madrid, Spain","Nieto Solís J.A., Universidad Complutense de Madrid, Spain","José Luis Sampedro self-defined ‘meta-economist’. Maybe because he knew that many economists and international agencies were wrong in recognizing the crisis. Although they rectified and predict a longer and serious crisis, are trustworthy their forecasts? In spite of their cyclical character, crises are difficult to anticipate and manage. Usually, they are related to the unbalanced growth, characteristic of Capitalism. Therefore, the present crisis was seen to come in the measure that, for time, well-known imbalances exist in real estate and financial sectors. Besides, the financial sector has been placed at the top of the control of the other activities; and neo-liberal doctrines have reduced regulatory capacity of public policies. Considering that this crisis may be indicating the end of a stage, we should not forget Sampedro and his lessons on the importance of the split of inequalities. He was a humanist. That is a very import difference with the neo-liberal way of understand our economic and social systems. © 2016, Universidad de Huelva. All rights reserved.","Crisis and public policies; Forecasts of economists; José luis sampedro; Role of the state","","J.A. Nieto Solís; Universidad Complutense de Madrid, Spain; email: janietos@ccee.ucm.es","","Universidad de Huelva","15760162","","","","Spanish","Revista de Economia Mundial","Article","Final","","Scopus","2-s2.0-85044759097"
"Gómez Sánchez T.F.; Rumbo Arcas M.B.","Gómez Sánchez, Tania Fátima (57214743624); Rumbo Arcas, Maria Begoña (57202812286)","57214743624; 57202812286","What’s the social agents thinking about the role of competencies in higher education? Social education degree; [Qué piensan los actores sociales sobre las competencias: El grado de educación social]","2018","Revista Complutense de Educacion","29","3","","757","771","14","1","10.5209/RCED.53831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049447849&doi=10.5209%2fRCED.53831&partnerID=40&md5=aa404905f2e959289b77b327aad0e236","Universidad de A Coruña, Spain","Gómez Sánchez T.F., Universidad de A Coruña, Spain; Rumbo Arcas M.B., Universidad de A Coruña, Spain","The utilitarian perspective has been based on the university as an incubator for specialized professionals. Curricula and degrees have been focused on the needs of the market. The European Higher Education Area (EHEA) has promoted the education policies which have been focused mainly in these concerns in the process of convergence of higher education. However, there are few research and studies about competences learning and labor market needs in Higher Education (Foncubierta, Perea & Siles, 2016; Aragón et al., 2015), particularly in the Spanish context and from a pedagogical and educational perspective. Consequently, our aim is to bring us closer to policy actions based on competences model as an impulse to the employability of graduates. For that purpose, we have carried out a qualitative, phenomenological and descriptive study. The information sources used were social agents. As a result, social agents have seen EHEA changes as structural transformations. This perspective is evidencing a certain distance, which translates into a lack of knowledge of the competences of the degree. They demand the need for a greater dialogue between university institutions and society, and a better definition of the professional role. Therefore, we can’t see an awareness raising about the degree value. Even more, we can’t observe a dialogue between the university and society. Thereby, the competences model is not connecting the university with the labor market. It is revealing a break between social agents and higher educational policies. © 2018, Universidad Complutense de Madrid. All rights reserved.","Educational planning; Labor market; Social education; Social system; University-business","","","","Universidad Complutense de Madrid","11302496","","","","Spanish","Rev. Complut. Educ.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85049447849"
"Billi M.; Urquiza Gómez A.; Feres Klenner C.","Billi, Marco (57192676127); Urquiza Gómez, Anahí (51462422900); Feres Klenner, Camilo (57200676531)","57192676127; 51462422900; 57200676531","Environmental communication and non-conventional renewable energy projects. Content analysis of chilean mass media; [Comunicación ambiental y proyectos energéticos renovables no convencionales. Análisis de contenido en medios de comunicación de masa chilenos]","2017","Revista Latina de Comunicacion Social","72","","","1218","1237","19","5","10.4185/RLCS-2017-1216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042157125&doi=10.4185%2fRLCS-2017-1216&partnerID=40&md5=e072266ebe3f306f00e3ea58074c6c74","Universidad Adolfo Ibáñez, Chile; Departamento de Antropología, Universidad de Chile, Chile","Billi M., Universidad Adolfo Ibáñez, Chile; Urquiza Gómez A., Departamento de Antropología, Universidad de Chile, Chile; Feres Klenner C., Universidad Adolfo Ibáñez, Chile","Introduction. We observe how mass media thematise Non-Conventional Renewable Energy projects [NCRE] in terms of relevance and treatment assigned to distinct sources and emerging thematic structures. Methodology. Mixed-approach content analysis of a sample of 100 Chilean digital press articles relating to NCRE, using the analytical framework of Niklas Luhmann’s Social Systems Theory. Results and Discussion. The predominance of solar and wind sources goes hand in hand with a low terminological clarity, which however allows mass media to build distinct thematic structures around social systems such as economy, science, politics and law. Environmental references are less frequent and shallower, privileging its evocative aspects with maximum linkage capacity. Conclusions. Instead than observing mass media as mere transmitters of rationalities external to them, more attention should be given to their ability to create realities and representing the (human and ecological) environment. © 2017, University of La Laguna. All rights reserved.","Chile; Climate change mitigation; Energy crisis; Environmental communication; Mass media; Non-conventional renewable energies","","","","University of La Laguna","11385820","","","","Spanish","Rev. Lat. Comun. Soc.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85042157125"
"Gonnet J.P.","Gonnet, Juan Pablo (55894473500)","55894473500","Conflict and social order in Niklas Luhmann´s systems theory; [Orden social y conflicto en la teoría de los sistemas de Niklas Luhmann]","2018","Cinta de Moebio","61","","","110","122","12","3","10.4067/S0717-554X2017000100110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044736275&doi=10.4067%2fS0717-554X2017000100110&partnerID=40&md5=ed4babcb9a157ec3589d6b27fe0c43fd","Centro de Estudios e Investigaciones sobre Cultura ySociedad, Universidad Nacional de Córdoba, Córdoba, Argentina","Gonnet J.P., Centro de Estudios e Investigaciones sobre Cultura ySociedad, Universidad Nacional de Córdoba, Córdoba, Argentina","Through the assimilation of contingency and complexity, Niklas Luhmann's social systems theory proposes a conceptualization of social order that is sensitive to those phenomena that challenge established institutional logics. This opening allows the integration of variation, change and conflict as possibilities always open in the reproduction of social systems as phenomena that are not antagonistic to social order. The purpose of this article is to analyse, specifically, the treatment of conflict that emerges from this conceptual manoeuvre. Our hypothesis is that, although the conflict is formally integrated in this theory, it is weakly explained as it partially recognizes the social conditions that make it viable. We argue that the probable cause of this deficit lies in the reproduction of a regulative conception of social order that is not sufficiently discussed regarding contingency and complexity. © 2018 Universidad de Chile, Facultad de Ciencias Sociales. All Rights Reserved.","Conflict; Double contingency; Social order; Social structures; Social system","","J.P. Gonnet; Centro de Estudios e Investigaciones sobre Cultura ySociedad, Universidad Nacional de Córdoba, Córdoba, Argentina; email: jpgonnet@conicet.gov.ar","","Universidad de Chile, Facultad de Ciencias Sociales","0717554X","","","","Spanish","Cinta Moebio","Article","Final","","Scopus","2-s2.0-85044736275"
"Bezerra B.; Cäsar C.; Jerusalinsky L.; Barnett A.; Bastos M.; Souto A.; Jones G.","Bezerra, Bruna (57200079993); Cäsar, Cristiane (23975571700); Jerusalinsky, Leandro (35332252900); Barnett, Adrian (7203071161); Bastos, Monique (49862718100); Souto, Antonio (23978818600); Jones, Gareth (57220985739)","57200079993; 23975571700; 35332252900; 7203071161; 49862718100; 23978818600; 57220985739","Pitheciid Vocal Communication: What Can We Say About What They Are Saying?","2017","Ethnobiology and Conservation","6","","","1","23","22","0","10.15451/EC2017-09-6.15-1-18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122005383&doi=10.15451%2fEC2017-09-6.15-1-18&partnerID=40&md5=e7fe11354f9b98add4a33abb922a94c5","Universidade Federal De Pernambuco, Centro De Biociencias, Pernambuco, Brazil; Museu De Ciencias Naturais, Pontificia Universidade Catolica De Minas Gerais, Brazil; Bicho Do Mato Instituto De Pesquisa, Brazil; Centro Nacional de Pesquisa e Conservacao de Primatas Brasileiros, Instituto Chico Mendes de Conservacao da Biodiversidade, Brazil; Centre For Research In Evolutionary And Ecological Anthropology, Department Of Life Sciences, University Of Roehampton, London, United Kingdom; Grupo de Pesquisa de Mamiferos Amazonicos, Coordenacao de Biodiversidade, Instituto Nacional de Pesquisas da Amazonia, Manaus, Amazonas, Brazil; University Of Bristol, School Of Biological Sciences, Bristol, United Kingdom","Bezerra B., Universidade Federal De Pernambuco, Centro De Biociencias, Pernambuco, Brazil, University Of Bristol, School Of Biological Sciences, Bristol, United Kingdom; Cäsar C., Museu De Ciencias Naturais, Pontificia Universidade Catolica De Minas Gerais, Brazil, Bicho Do Mato Instituto De Pesquisa, Brazil; Jerusalinsky L., Centro Nacional de Pesquisa e Conservacao de Primatas Brasileiros, Instituto Chico Mendes de Conservacao da Biodiversidade, Brazil; Barnett A., Centre For Research In Evolutionary And Ecological Anthropology, Department Of Life Sciences, University Of Roehampton, London, United Kingdom, Grupo de Pesquisa de Mamiferos Amazonicos, Coordenacao de Biodiversidade, Instituto Nacional de Pesquisas da Amazonia, Manaus, Amazonas, Brazil; Bastos M., Universidade Federal De Pernambuco, Centro De Biociencias, Pernambuco, Brazil; Souto A., Universidade Federal De Pernambuco, Centro De Biociencias, Pernambuco, Brazil; Jones G., University Of Bristol, School Of Biological Sciences, Bristol, United Kingdom","The Variation In Ecological Traits In Pitheciids Allow Investigation Of Vocal Communication Across A Range Of Social And Acoustic Circumstances. In This Review, We Present A Summary Of The History Of Pitheciid Vocal Studies, And Review I) The Status Of Current Knowledge Of Pitheciid Vocal Repertoire Sizes, Ii) How Much We Understand About The Context Of Different Acoustic Signals, And Iii) How Can We Potentially Use Our Knowledge Of Vocalizations In Animal Welfare Practices. The Repertoires Described For Titi Monkeys And Sakis Have The Expected Sizes For These Genera, Considering Their Relatively Small Social Group Sizes. However, Uacari Groups Can Contain Over 100 Individuals, And A Larger Vocal Repertoire Than The Ones Described Would Be Expected, Which Could Be A Consequence Of The Fission­Fusion Social System Where The Large Group Divides Into Smaller Subgroups. Nevertheless, Vocal Repertoires Exist For Only About 12% Of The Pitheciid Species And Nothing Is Known, For Example, Concerning Call Ontogeny. We Hope That This Study Will Act As A Reference Point For Researchers Interested In Investigating Vocal Behaviour In Pitheciids, Thus, Optimising Both Funding Focus And, Researcher’S Time And Effort. Also, We Hope To Help Defining Methodologies And Strategies For The Conservation And Management Of Pitheciid Monkeys © 2017,Ethnobiology and Conservation.All Rights Reserved","Alarm Calls; Conservation Methods; Meaning Attributed Calls; Playback Survey; Vocal Repertoires; Welfare Practices","","B. Bezerra; Universidade Federal De Pernambuco, Centro De Biociencias, Pernambuco, Brazil; email: brunamb1234@gmail.com","","Universidade Federal Rural de Pernambuco","22384782","","","","English","Ethnobiol. Conserv.","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85122005383"
"Robinson M.; Iriarte J.; De Souza J.G.; Marozzi O.; Scheel-Ybert R.","Robinson, Mark (57061469400); Iriarte, José (35577027700); De Souza, Jonas Gregorio (57061768300); Marozzi, Oscar (6503937883); Scheel-Ybert, Rita (6602887175)","57061469400; 35577027700; 57061768300; 6503937883; 6602887175","Moiety specific wood selection in funerary ritual for the southern proto-Jê","2017","Journal of Archaeological Science: Reports","11","","","237","244","7","5","10.1016/j.jasrep.2016.11.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85004009774&doi=10.1016%2fj.jasrep.2016.11.047&partnerID=40&md5=b008270341395c5a4bf4d10a3abf8b54","Department of Archaeology, University of Exeter, North Park Road, Exeter, EX4 4QE, Devon, United Kingdom; SAR, Servicios Arqueológicos, Uruguay; Museo Nacional da Universidade Federal do Rio de Janeiro (UFRJ), Rio de Janeiro, Brazil","Robinson M., Department of Archaeology, University of Exeter, North Park Road, Exeter, EX4 4QE, Devon, United Kingdom; Iriarte J., Department of Archaeology, University of Exeter, North Park Road, Exeter, EX4 4QE, Devon, United Kingdom; De Souza J.G., Department of Archaeology, University of Exeter, North Park Road, Exeter, EX4 4QE, Devon, United Kingdom; Marozzi O., SAR, Servicios Arqueológicos, Uruguay; Scheel-Ybert R., Museo Nacional da Universidade Federal do Rio de Janeiro (UFRJ), Rio de Janeiro, Brazil","Identification of wood charcoal associated with earth ovens at a southern proto-Jê mortuary complex in Misiones, Argentina, are discussed in relation to a dual social structure. A distinct difference in form between the ovens in the east and west follow a pattern of asymmetry that manifests at multiple levels across the mortuary landscape. The asymmetry reflects a dual social structure that is the precursor to the moiety system employed by modern Jê groups. In the moiety system all people, things, and phenomena are assigned to a moiety in an all-encompassing classificatory system. The identification of charcoal as Jacaranda sp. in the western earth ovens matches the moiety associations and suggests a specific use of resources within ritual determined by the dual social system. The results have implications for understanding southern proto-Jê social formation, ritual practice, and resource management, as well as providing a cautionary note for the consideration of cultural formation when designing research questions and methodologies. © 2016","Charcoal; Dualism; Jacaranda; Moiety; Mound and enclosure; PM01; Southern proto-Jê","","M. Robinson; Department of Archaeology, University of Exeter, Exeter, North Park Road, EX4 4QE, United Kingdom; email: markrobinson.uk@gmail.com","","Elsevier Ltd","2352409X","","","","English","J.Archaeol. Sci. Rep.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85004009774"
"Aragón M.","Aragón, Milton (57195990703)","57195990703","The imaginary of the sustentability as resonance of the modern social system; [El imaginario de lo sustentable como resonancia del sistema social moderno]","2017","Utopia y Praxis Latinoamericana","22","76","","57","69","12","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030683550&partnerID=40&md5=b190106f454918b8534bc27e187b3095","Instituto de Ciencias Sociales y Humanidades, Benemérita Universidad Autónoma de Puebla, Mexico","Aragón M., Instituto de Ciencias Sociales y Humanidades, Benemérita Universidad Autónoma de Puebla, Mexico","In this text, we reflect on the link between the correlative and the resonance with the imaginary. We propose that the correlative of fear is product of the environmental crisis and the imaginary of the sustainable. Where the imagery of the sustainable, is a contingency arising by the resonance of the environmental crisis in the modern social system. © 2017, Universidad del Zulia. All rights reserved.","Contingency; Imaginaries; Sustentability; Systems teory","","","","Universidad del Zulia","13165216","","","","Spanish","Utopia Prax. Latinoamericana","Article","Final","","Scopus","2-s2.0-85030683550"
"Toledo Parra C.A.; Gamboa Sarmiento S.C.; Di Fatta D.","Toledo Parra, Camilo Andrés (57193699198); Gamboa Sarmiento, Sonia Cristina (57193688004); Di Fatta, Davide (57191169108)","57193699198; 57193688004; 57191169108","Studying University as Social Systems Using the Viable System Model: mApp and Semantic Web Technologies at the Industrial University of Santander†       ","2017","Journal of Organisational Transformation and Social Change","14","1","","56","77","21","8","10.1080/14779633.2017.1291147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015857971&doi=10.1080%2f14779633.2017.1291147&partnerID=40&md5=10bfe00b002a1470d1fa6f28db819600","Escuela de Ingeniería de Sistemas e Informática, Industrial University of Santander, Colombia; Department of Economics, Environmental Sciences and Quantitative Methods, University of Messina, Italy","Toledo Parra C.A., Escuela de Ingeniería de Sistemas e Informática, Industrial University of Santander, Colombia; Gamboa Sarmiento S.C., Escuela de Ingeniería de Sistemas e Informática, Industrial University of Santander, Colombia; Di Fatta D., Department of Economics, Environmental Sciences and Quantitative Methods, University of Messina, Italy","The purpose of this paper is to build on Systemic and Organizational Cybernetics (OC) through the Beer's Viable System Model (VSM) in order to study university analyzing them as social systems. A representation of the self-assessment process is provided through a model that allows university decision markers to diagnose or design information systems for self-evaluation process of graduate programs. The developed systemic framework could offer practical guidelines for decision makers in public or private universities in applying the concepts of organizational and systemic cybernetics in order to strengthen the viability of postgraduate programs and to perform processes for self-evaluation in collective decisions. This research also presents a case study carried out at the Industrial University of Santander, in Bucaramanga, Colombia. This article is an original attempt to fill the conceptual and practical gap on Organizational Cybernetics, existing in the design of self-assessment models graduate programs. Another contribution is the introduction of a Viable System Model of the higher education system in Colombia through the Organizational Cybernetics. © 2017 Informa UK Limited, trading as Taylor & Francis Group.","Organizational Cybernetics; self-assessment process; social systems; universities; Viable System Model","","D. Di Fatta; Department of Economics, Environmental Sciences and Quantitative Methods, University of Messina, Italy; email: difatta.davide@unime.it","","Taylor and Francis Ltd.","14779633","","","","English","J. Organ. Transform. Soc. Change","Article","Final","","Scopus","2-s2.0-85015857971"
