container.title,created,deposited,published.online,doi,indexed,issn,issue,issued,member,page,prefix,publisher,score,source,reference.count,references.count,is.referenced.by.count,subject,title,type,url,abstract,short.container.title,author,link,license,alternative.id,language,reference,volume,published.print,update.policy,assertion,subtitle,funder,archive
Revista Brasileira de Estudos Políticos,2019-07-29,2019-07-29,2019-07,10.9732/p.0034-7191.2019v118p511,2022-04-03,"0034-7191,2359-5736",118,2019-07,4678,NA,10.9732,Revista Brasileira de Estudos Politicos,1,Crossref,0,0,0,"Law,Sociology and Political Science",Para uma crítica do constitucionalismo social: fragmentos weimarianos,journal-article,http://dx.doi.org/10.9732/p.0034-7191.2019v118p511,NA,RBEP,,,,NA,NA,,NA,NA,NA,,NA,,NA
"Journal of Open Innovation: Technology, Market, and Complexity",2019-03-07,2023-01-25,2019-03-06,10.3390/joitmc5010015,2023-01-26,2199-8531,1,2019-03-06,78,15,10.1016,Elsevier BV,1,Crossref,44,44,10,"General Economics, Econometrics and Finance,Sociology and Political Science,Development",Resilience beyond Formal Structures: A Network Perspective towards the Challenges of an Aging Workforce in the Oil and Gas Industry,journal-article,http://dx.doi.org/10.3390/joitmc5010015,"<jats:p>Changes in workplace demographics in the oil and gas industry have raised a concern about the risks of a knowledge-loss crisis due to mass retirement. The industry response has often consisted of strategies aimed at mapping knowledge across organizational units, codifying knowledge in databases, and mentoring new staff. However, such common managerial responses show important limitations in terms of grasping tacit and network-based dimensions of knowledge in complex oil production operations. Therefore, there is an industrial need for innovative knowledge management practices. In this conceptual article, we look at the knowledge-loss crisis from the perspective of network resilience in complex systems. A central assumption here is that it is important to look at retiring staff not only in terms of their explicit knowledge, but also in relation to their roles in evolving networks of interactions. Why do some social systems adapt to the departure of some individuals, recover from eventual knowledge-loss crises, and keep performing its functions? From an anticipatory logic, network analysis may show the initial conditions of a system and identify possible loss scenarios. From an adaptive logic, network analysis may inform interventions aimed at facilitating processes of interactions from which new knowledge may emerge and spread. Integrated operations may be a step in this direction.</jats:p>",JOItmC,,,,joitmc5010015,en,,5,NA,NA,,NA,,NA
Systems Research and Behavioral Science,2018-11-16,2019-07-03,2018-11-15,10.1002/sres.2568,2022-04-01,1092-7026,4,2018-11-15,311,532-537,10.1002,Wiley,1,Crossref,0,0,0,"Information Systems and Management,Strategy and Management,General Social Sciences",A whole systems approach to education redesign: A case study on the need for intergenerational perspectives and inclusion,journal-article,http://dx.doi.org/10.1002/sres.2568,NA,Syst Res Behav Sci,,,,NA,en,,36,2019-07,NA,,NA,,Portico
Convergencia Revista de Ciencias Sociales,2019-12-18,2019-12-18,2019-12-06,10.29101/crcs.v27i83.12148,2022-12-29,2448-5799,NA,2019-12-06,11645,1,10.29101,Universidad Autonoma del Estado de Mexico,1,Crossref,0,0,4,General Social Sciences,La Teoría de los Sistemas Complejos y la Teoría de los Sistemas Sociales en las controversias de la complejidad,journal-article,http://dx.doi.org/10.29101/crcs.v27i83.12148,"<jats:p>La irrupción de la complejidad en las décadas de 1970 y 1980 motivó un cierto diagnóstico de crisis de la ciencia y el conocimiento científico. Indagar el alcance de este diagnóstico es central para comprender el sentido que adquiere la complejidad en dos programas particulares: la Teoría de los Sistemas Complejos (TSC) de Rolando García, y la Teoría de los Sistemas Sociales (TSS) de Niklas Luhmann. Para aclarar este problema planteamos un contrapunto en torno a tres problemas particulares –el alcance de las explicaciones y las predicciones científicas, la interdisciplina, y el carácter social y transformador del conocimiento –, que atendemos junto a las características metateóricas y los supuestos epistemológicos de cada programa. Concluimos abogando por una interpretación de la TSC donde se observa una posición más moderada que la de la TSS en la controversia por la complejidad.</jats:p>",conrec,,,,NA,NA,,27,NA,NA,,NA,,NA
AI &amp; SOCIETY,2017-07-12,2022-07-30,2017-07-12,10.1007/s00146-017-0743-2,2023-03-08,"0951-5666,1435-5655",3,2017-07-12,297,437-453,10.1007,Springer Science and Business Media LLC,1,Crossref,54,54,6,"Artificial Intelligence,Human-Computer Interaction,Philosophy",Culture-based artefacts to inform ICT design: foundations and practice,journal-article,http://dx.doi.org/10.1007/s00146-017-0743-2,NA,AI &amp; Soc,,,,743,en,,34,2019-09,http://dx.doi.org/10.1007/springer_crossmark_policy,,NA,,NA
Revista de Historia (Concepción),2020-12-22,2020-12-22,2020-06,10.29393/rh27-10shsc20010,2022-03-29,0717-8832,27,2020-06,11938,9-36,10.29393,Universidad de Concepcion,1,Crossref,0,0,0,History,"Sistemas hidro-sociales, gestión estatal y legalización del rol de privados: efectos de la sequía y la lucha por el agua a inicios del siglo XX en la Provincia de Santiago",journal-article,http://dx.doi.org/10.29393/rh27-10shsc20010,NA,RHIST,,,,RH27-10SHSC20010,es,,2,NA,NA,,NA,,NA
Systems Research and Behavioral Science,2019-05-16,2022-09-18,2019-05-15,10.1002/sres.2600,2023-03-05,1092-7026,1,2019-05-15,311,68-81,10.1002,Wiley,1,Crossref,87,87,10,"Information Systems and Management,Strategy and Management,General Social Sciences",The contribution of systems theory to sustainability in degrowth contexts: The role of subsystems,journal-article,http://dx.doi.org/10.1002/sres.2600,NA,Syst Res Behav Sci,,,,NA,en,,37,2020-01,NA,,NA,,Portico
Mitologías hoy,2020-07-06,2020-07-06,2020-06-22,10.5565/rev/mitologias.688,2022-04-01,2014-1130,NA,2020-06-22,3612,261,10.5565,Universitat Autonoma de Barcelona,1,Crossref,0,0,0,Literature and Literary Theory,"""El rencoroso desprecio con que las hemos mirado y las miramos"": A Feminist Reflection on the Work of Gamaliel Churata",journal-article,http://dx.doi.org/10.5565/rev/mitologias.688,NA,mitologias,,,,NA,NA,,21,NA,NA,,NA,,NA
Leviathan,2019-11-29,2019-11-29,NA,10.5771/0340-0425-2019-4-498,2022-03-30,0340-0425,4,2019,3821,498-513,10.5771,Nomos Verlag,1,Crossref,0,0,0,"Political Science and International Relations,Linguistics and Language,Sociology and Political Science,Language and Linguistics",Kritische Systemtheorie und Kritische Theorie sozialer Systeme. Ein Plädoyer für eine fruchtbare Unterscheidung,journal-article,http://dx.doi.org/10.5771/0340-0425-2019-4-498,"<p>Die Systemtheorie und die Kritische Theorie sind Schulen, die Theoretikerinnen seit langem ein Zuhause bieten. In der Zeit ihres Bestehens kam es immer wieder zu Treffpunkten und Theoriekollisionen dieser beiden Traditionen des Denkens der Gesellschaft. Durch die hier entwickelte Metareflexion wird es möglich, zu analysieren, wie diese Theorietraditionen verbunden werden. Da sich die aktuelle Diskussion auf die Perspektive der Systemtheorie beschränkt, ist es notwendig, die Verbindung auch aus der Perspektive Kritischer Theorie zu debattieren. Denn erst die Unterscheidung der heute immer mehr ins Gespräch kommenden Kritischen Systemtheorie von der kaum diskutierten Kritischen Theorie sozialer Systeme macht es möglich, die volle Produktivität der Theoriekollisionen zu erkennen. Wir konzipieren unsere Metareflexion damit als eine Intervention im Sinne einer soziologischen Selbstkritik. Sie richtet sich gegen die Gefahr des theoretischen Dogmatismus und plädiert für die Öffnung der Kontingenz des eigenen Denkens der Gesellschaft. </p>",Leviathan,,,,NA,NA,,47,2019,NA,,NA,,NA
Estudios sobre el Mensaje Periodístico,2019-05-09,2019-05-09,2019-03-20,10.5209/esmp.63737,2022-03-30,"1988-2696,1134-1629",1,2019-03-20,3169,411-420,10.5209,Universidad Complutense de Madrid (UCM),1,Crossref,0,0,0,Communication,"Periodistas, medios y sistema social: relaciones que conducen hacia la desprofesionalización de la prensa en Cuba",journal-article,http://dx.doi.org/10.5209/esmp.63737,"<jats:p>El presente artículo caracteriza situaciones típicas de los entornos laborales actuales del periodismo cubano, identificando la ocurrencia de un fenómeno aquí definido como desprofesionalización de la prensa. A partir de la sistematización teórica de investigaciones realizadas en Cuba entre 2012 y 2017 sobre la cultura profesional de los periodistas y su relación con la construcción de la noticia, se determina cómo la práctica periodística aparece viciada por procesos internos y externos a los medios, los cuales son descritos atendiendo a tres premisas fundamentales: la presencia de hábitos y prácticas obsoletas de trabajo, limitaciones en la concepción y uso de las tecnologías digitales de la información y la concepción instrumentalista de la prensa por parte de las instituciones del sistema político y la sociedad civil.</jats:p>",Estud. Mensaje Period.,,,,NA,NA,,25,NA,NA,,NA,,NA
Revista Brasileira de Ciências Sociais,2020-03-02,2022-10-17,2020,10.1590/3510208/2020,2022-10-17,"1806-9053,0102-6909",102,2020,530,NA,10.1590,FapUNIFESP (SciELO),1,Crossref,45,45,0,General Social Sciences,SISTEMA POLÍTICO-ADMINISTRATIVO E INTERAÇÕES NA IMPLEMENTAÇÃO DE POLÍTICAS PÚBLICAS,journal-article,http://dx.doi.org/10.1590/3510208/2020,"<jats:p>O artigo propõe uma análise sociológica sistêmica das burocracias de nível de rua e seus possíveis efeitos em trajetórias de inclusão e exclusão. Com base na sociologia de Niklas Luhmann, o objeto específico da análise é a autonomia da interação na produção de estruturas de expectativas sociais que podem orientar decisões sobre inclusão e exclusão em organizações de implementação de políticas públicas. O resultado é um modelo sistêmico multinível para observar a burocracia de nível de rua, articulando distintos níveis de formação sistêmica, como organização, interação, redes sociais e sistemas de função. Neste quadro, a análise multidimensional das formas de inclusão e exclusão permite observar e comparar o peso relativo das interações implementadoras e da dimensão relacional do Estado para trajetórias de inclusão e exclusão em cada setor de política pública.</jats:p>",Rev. bras. Ci. Soc.,,,,S0102-69092020000100510,NA,,35,NA,NA,,NA,,NA
Development,2019-09-26,2020-09-24,2019-09-26,10.1057/s41301-019-00219-y,2022-06-06,"1011-6370,1461-7072",1-4,2019-09-26,297,167-177,10.1057,Springer Science and Business Media LLC,1,Crossref,48,48,3,"Development,Geography, Planning and Development",The Social Inclusion of Indigenous Peoples in Ecuador Before and During the Revolución Ciudadana,journal-article,http://dx.doi.org/10.1057/s41301-019-00219-y,NA,Development,,,,219,en,,62,2019-12,http://dx.doi.org/10.1007/springer_crossmark_policy,,NA,,NA
Revista Mad,2020-01-08,2020-01-08,2019-11-01,10.5354/0719-0527.2019.54829,2022-03-31,0718-0527,40,2019-11-01,3330,1,10.5354,Universidad de Chile,1,Crossref,0,0,0,General Social Sciences,Género como medio de comunicación simbólicamente generalizado: un análisis sistémico,journal-article,http://dx.doi.org/10.5354/0719-0527.2019.54829,"<jats:p>El artículo analiza al género desde la teoría de los sistemas sociales de Niklas Luhmann. Para ello, el artículo aborda el análisis de la complejidad del sistema y la interacción con las expectativas de comportamiento mediante los mecanismos de operación de los medios de comunicación simbólicamente generalizados, código, programas y roles que derivan de este. Desde esta base, se analiza el concepto de género, considerándolo como un medio de comunicación simbólicamente generalizado, abordando la vinculación de la selección y la motivación con el condicionamiento de las expectativas del comportamiento de las personas.</jats:p>",Rev Mad,,,,NA,NA,,NA,NA,NA,,NA,,NA
Observatorio (OBS*),2019-02-26,2022-08-30,2019-03-04,10.15847/obsobs13120191314,2022-08-30,1646-5954,1,2019-03-04,6592,NA,10.15847,Instituto Universitario de Lisboa (ISCTE-IUL),1,Crossref,0,0,0,"Computer Networks and Communications,Communication",Comunicação Política e ONG: o lugar do Jornalismo,journal-article,http://dx.doi.org/10.15847/obsobs13120191314,"<jats:p>O Jornalismo constitui, como sabemos, um fenómeno social cujas características decorrem da sociedade em que se inscreve. Por outro lado, os media não apenas constituem o meio através do qual a maioria dos cidadãos estabelece contacto com a realidade não fisicamente experienciável mas foi também capacitada por ela que se desenvolveu uma opinião pública informada. Conhece-lo implica, necessariamente, correlacioná-lo com o sistema social em que está inserido, incluindo a paisagem económico-política em que se encontra.&#x0D;
Uma dimensão essencial na valorização da classe profissional prende-se com a sua literacia profissional ou, no caso específico deste trabalho, literacia ambiental, fruto de um processo de educação da atenção, atributos constitutivos das relações estabelecidas num determinado contexto.  A essa dimensão é chamada uma outra, jogada na importância das fontes, com a qual a classe estabelece uma relação simbiótica de interdependência.&#x0D;
A partir de dados provenientes de seis entrevistas conduzidas ao (reduzido) elenco de jornalistas de Ambiente nos principais meios de comunicação escrita no país, é problematizado neste trabalho o lugar da/o jornalista, encontrada/o entre condições de exercício da profissão decorrentes de mutações nas redacções e um conjunto de interacções negociadas com fontes de cuja agenda se constituem amplificadores.</jats:p>",(OBS*),,,,NA,NA,,13,NA,NA,,NA,,NA
Desenvolvimento e Meio Ambiente,2020-11-17,2020-12-22,2020-11-16,10.5380/dma.v54i0.68698,2022-03-31,"2176-9109,1518-952X",NA,2020-11-16,3785,NA,10.5380,Universidade Federal do Parana,1,Crossref,0,0,0,"General Environmental Science,Geography, Planning and Development",O choque do antropoceno sobre as humanidades: investigando história e ecologia a partir de Bonneuil e Moore,journal-article,http://dx.doi.org/10.5380/dma.v54i0.68698,"<jats:p>Investiga-se no trabalho o impacto do acontecimento Antropoceno sobre as Humanidades e a divisão curricular que as separa das ciências naturais. A passagem da Época geológica do Holoceno para o Antropoceno anunciada pelos cientistas da Terra faz com que o grande divisor moderno entre natureza e cultura entre em xeque. Uma vez que a própria natureza é transformada pelo impacto da tecnologia e dos sistemas sociais, a manutenção da fronteira rígida perde o sentido. Apresenta-se, heuristicamente, dois exemplos para pensar essa dupla transformação: em Bonneuil, Fressoz e Jouvancourt, é o conceito de história adotado pelos cientistas que precisa ser revisado por uma historiografia que narre as vozes vencidas na construção do Antropoceno; em Jason Moore, é o conceito de natureza que precisa ser revisado pela historiografia do capitalismo e dos sistemas-mundo. Chega-se, assim, ao conceito de geohumanidades para pensar o contexto do Antropoceno a partir do desafio de uma nova transdisciplinaridade.</jats:p>",Desenvolv. Meio Ambiente,,,,NA,NA,,54,NA,NA,,NA,,NA
Water,2019-02-22,2019-02-22,2019-02-22,10.3390/w11020385,2022-12-23,2073-4441,2,2019-02-22,1968,385,10.3390,MDPI AG,1,Crossref,70,70,11,"Water Science and Technology,Aquatic Science,Geography, Planning and Development,Biochemistry",Transdisciplinary Learning Communities to Involve Vulnerable Social Groups in Solving Complex Water-Related Problems in Bolivia,journal-article,http://dx.doi.org/10.3390/w11020385,"<jats:p>Bolivia has influenced the international water arenas as a pioneer of the Human Water Rights Declaration before the United Nations General Council. However, despite a positive but rather ideological evolution, the country is still facing several water challenges in practice. Water governance is extremely complex due to intricate social structures, important spatial and temporal differences in the availability of water resources, ecological fragility, and weak institutions. A Transdisciplinary Learning Community approach has been adopted by the Universidad Católica Boliviana to take into account the complexity of the water problems caused by social, hydrological, and ecological system imbalances. In this approach, researchers and non-academic actors work closely together to integrate different ways of conceiving, using, valuing, and deciding on water issues. The approach aims at co-creating resilient solutions by recovering and restoring not only the ecological system, but also the social system in which all actors are aware of their role and responsibility. We explain the challenges and concerns raised by this approach in a case study of the Katari River Basin (KRB), which is impacted by a high degree of contamination that is mainly caused while crossing El Alto city, leading to dramatic consequences for the Lake Titicaca ecosystem and its surrounding communities.</jats:p>",Water,,,,w11020385,en,,11,NA,NA,,NA,,NA
Revista de Humanidades de Valparaíso,2021-01-27,2021-01-28,2021-01-21,10.22370/rhv2020iss16pp191-214,2022-03-29,"0719-4242,0719-4234",16,2021-01-21,9637,191,10.22370,Universidad de Valparaiso Chile,1,Crossref,0,0,0,Philosophy,Fundamentos de la explicación en ciencias sociales: revisitando el constructivismo de Niklas Luhmann (20 años después),journal-article,http://dx.doi.org/10.22370/rhv2020iss16pp191-214,"<jats:p>In this work, it is argued that one of the foundations of NiklasLuhmann’s theory of social systems, namely that it has no ontology, would prevent the elaboration of explanations in sociology. Because the theory has a formal-logical foundation, which does not presuppose ontology, there are insurmountable obstacles to achieving this objective. For this reason, it is valid to wonder about the merit of a theory that, after 20 years, insists on not aligning itself with ontological premises in a robust way and suggests, therefore, a refusal to integrate sociology within the set of factual sciences. However, we think that the richness of Luhmann’s work allows a dialogue with the mainstream of contemporary theoretical practice. Three rules about what “should not be done” are revalidated from this analysis to philosophically base a theory in sociology and a key suggestion to overcome the problem of explanation in Luhmann’s sociology: social science seeks and directs its activity towards discovery and the use of substantive, real distinctions that also enrich the factual content of statements about social reality.</jats:p>",RHV,,,,NA,NA,,NA,NA,NA,,NA,,NA
Bitácora Urbano Territorial,2020-01-28,2022-10-13,2020-01-01,10.15446/bitacora.v30n1.82586,2022-11-28,"2027-145X,0124-7913",1,2020-01-01,6146,75-89,10.15446,Universidad Nacional de Colombia,1,Crossref,34,34,2,"Urban Studies,Arts and Humanities (miscellaneous),Geography, Planning and Development","Planeación y gestión espontánea en Bogotá. Informalidad urbana, 1940-2019",journal-article,http://dx.doi.org/10.15446/bitacora.v30n1.82586,"<jats:p>El texto aborda la planeación y gestión espontánea en escenarios urbanos desde una relectura territorial de los asentamientos humanos como sistemas sociales. Este planteamiento crítico sugiere un cambio de paradigma sobre el desarrollo autogestionado, a medida que reflexiona sobre cómo entender la complejidad territorial desde el reconocimiento de la autonomía de sus habitantes. Para ello, el pensamiento sistémico es utilizado en la estructuración de una lectura que propone entender las dinámicas territoriales de San Germán (Usme), en el borde sur de Bogotá. Los resultados incluyen, primero, un análisis sistémico aplicado a una línea de tiempo que expone los efectos de una respuesta institucional mecánica y lineal. Segundo, la lectura simultánea de las lógicas formales y espontáneas, haciendo explícitos los puntos de encuentro que suponen confrontaciones. El artículo concluye, por un lado, que el desconocimiento de las implicaciones globales de la acción institucional ha estado vinculado al establecimiento de medidas que homogenizan el territorio bajo una lógica única de construcción territorial. Por el otro, que el no reconocimiento de las lógicas espontáneas continuará restringiendo las acciones autogestionadas a contextos ajenos a los diálogos en escenarios de planeación y, con ello, al desarrollo espontáneo no asistido, aislado e inaccesible.</jats:p>",Bitácora Urbano Territorial,,,,NA,NA,,30,NA,NA,,NA,,NA
Journal of Artificial Societies and Social Simulation,2016-07-03,2016-07-03,2016,10.18564/jasss.3128,2023-02-04,1460-7425,3,2016,7830,NA,10.18564,Journal of Artificial Societies and Social Simulation,1,Crossref,0,0,4,"General Social Sciences,Computer Science (miscellaneous)","A Multiagent-Based Tool for the Simulation of Social Production and Management of Urban Ecosystems: A Case Study on San Jerónimo Vegetable Garden - Seville, Spain",journal-article,http://dx.doi.org/10.18564/jasss.3128,NA,JASSS,,,,NA,en,,19,NA,NA,,NA,,NA
Dados,2018-01-21,2018-02-06,NA,10.1590/001152582017133,2022-04-05,"1678-4588,0011-5258",3,2017-09,530,703-749,10.1590,FapUNIFESP (SciELO),1,Crossref,38,38,1,General Social Sciences,A Sociologia e a Sociologia Política em DADOS,journal-article,http://dx.doi.org/10.1590/001152582017133,"<jats:p>RESUMO O artigo identifica e discute alguns movimentos cognitivos cruciais da coleção Sociologia da revista DADOS. Inspirada em ideias sobre a dinâmica da diferenciação funcional da sociologia de Niklas Luhmann como uma chave geral de leitura dos dados da pesquisa, sugere o papel central que a sociologia política, especialidade mais recorrente, tem na coleção. Ela protagoniza um movimento simultâneo de diferenciação em relação ao conjunto dos artigos publicados e de modificação desse ambiente, pelas ressonâncias que vai imprimindo nas outras especialidades da sociologia. Nessa mesma chave, sugere o papel de autodescrição reflexiva em relação ao conjunto da coleção assumido pelo pensamento social e político, a segunda especialidade mais recorrente nesses 50 anos de publicação da revista.</jats:p>",Dados,,,,S0011-52582017000300703,NA,,60,2017-09,NA,,NA,,NA
Social Network Analysis and Mining,2017-05-13,2019-09-24,2017-05-13,10.1007/s13278-017-0437-2,2023-03-03,"1869-5450,1869-5469",1,2017-05-13,297,NA,10.1007,Springer Science and Business Media LLC,1,Crossref,46,46,3,"Computer Science Applications,Human-Computer Interaction,Media Technology,Communication,Information Systems",An evaluation of sentiment analysis for mobile devices,journal-article,http://dx.doi.org/10.1007/s13278-017-0437-2,NA,Soc. Netw. Anal. Min.,,,,437,en,,7,2017-12,http://dx.doi.org/10.1007/springer_crossmark_policy,,NA,,NA
Social Sciences,2017-09-07,2018-03-22,2017-09-07,10.3390/socsci6030107,2022-04-04,2076-0760,3,2017-09-07,1968,107,10.3390,MDPI AG,1,Crossref,65,65,3,General Social Sciences,"Linking Group Theory to Social Science Game Theory: Interaction Grammars, Group Subcultures and Games for Comparative Analysis",journal-article,http://dx.doi.org/10.3390/socsci6030107,NA,Social Sciences,,,,socsci6030107,en,,6,NA,NA,,NA,,NA
Latin American Antiquity,2017-06-08,2022-07-29,2017-06-08,10.1017/laq.2017.11,2022-12-21,"1045-6635,2325-5080",2,2017-06,56,232-251,10.1017,Cambridge University Press (CUP),1,Crossref,85,85,5,"Archeology,History,Archeology",MOIETIES AND MORTUARY MOUNDS: DUALISM AT A MOUND AND ENCLOSURE COMPLEX IN THE SOUTHERN BRAZILIAN HIGHLANDS,journal-article,http://dx.doi.org/10.1017/laq.2017.11,"<jats:p>Excavations at Abreu Garcia provide a detailed case study of a mound and enclosure mortuary complex used by the southern proto-Jê in the southern Brazilian highlands. The recovery of 16 secondary cremation deposits within a single mound allows an in-depth discussion of spatial aspects of mortuary practices. A spatial division in the placement of the interments adds another level of duality to the mortuary landscape, which comprises: (1) paired mound and enclosures, (2) twin mounds within a mound and enclosure, and (3) the dual division in the mound interior. The multiple levels of nested asymmetric dualism evoke similarities to the moiety system that characterizes modern southern Jê groups, highlighting both the opposition and the complementarity of the social system. The findings offer deeper insight into fundamental aspects of southern proto-Jê social organization, including the dual nature of the community, the manifestation of social structure in the landscape, and its incorporation into mortuary ritual. The results have implications for research design and developing appropriate methodologies to answer culture-specific questions. Furthermore, the parallels among archaeology, ethnohistory, and ethnography enable an understanding of the foundation of modern descendent groups and an assessment of the continuity in indigenous culture beyond European contact.</jats:p>",Latin Am. antiq.,,,,S1045663517000116,en,,28,2017-06,NA,,NA,,NA
"Revista de Estudos Constitucionais, Hermenêutica e Teoria do Direito",2017-12-21,2017-12-21,2017-11-14,10.4013/rechtd.2017.92.03,2022-04-02,2175-2168,2,2017-11-14,2428,NA,10.4013,UNISINOS - Universidade do Vale do Rio Dos Sinos,1,Crossref,0,0,1,Law,Luhmann sob o olhar de Horkheimer: explorando a crítica latente na teoria dos sistemas autopoiéticos aplicada ao Direito,journal-article,http://dx.doi.org/10.4013/rechtd.2017.92.03,NA,RECHTD,,,,NA,NA,,9,NA,NA,,NA,,NA
Universum (Talca),2017-10-03,2017-10-03,2017-07,10.4067/s0718-23762017000100121,2022-03-29,0718-2376,1,2017-07,2516,121-135,10.4067,SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),1,Crossref,0,0,0,"General Social Sciences,General Arts and Humanities",LAS PERSPECTIVAS TEMPORALES DE LOS CHILENOS: UN ESTUDIO EMPÍRICO SOBRE LA DIMENSIÓN SUBJETIVA DEL TIEMPO,journal-article,http://dx.doi.org/10.4067/s0718-23762017000100121,NA,Universum,,,,S0718-23762017000100121,en,,32,NA,NA,,NA,,NA
Revista Mad,2017-09-04,2017-09-04,2017-05-29,10.5354/0718-0527.2017.46141,2022-04-05,0718-0527,36,2017-05-29,3330,NA,10.5354,Universidad de Chile,1,Crossref,0,0,1,General Social Sciences,Comunicación y emociones como categorías sociológicas,journal-article,http://dx.doi.org/10.5354/0718-0527.2017.46141,NA,NA,,,,38-52,NA,,0,NA,NA,,NA,,NA
"Revista de Estudos Constitucionais, Hermenêutica e Teoria do Direito",2018-10-08,2018-10-08,2018-04-11,10.4013/rechtd.2018.101.03,2022-03-30,2175-2168,1,2018-04-11,2428,NA,10.4013,UNISINOS - Universidade do Vale do Rio Dos Sinos,1,Crossref,0,0,0,Law,Niklas Luhmann: 20 anos do sociedade da sociedade. O lugar do ao mesmo tempo na teoria do direito,journal-article,http://dx.doi.org/10.4013/rechtd.2018.101.03,NA,RECHTD,,,,NA,NA,,10,NA,NA,,NA,,NA
Anales de Literatura Hispanoamericana,2017-03-02,2017-03-02,2017-03-02,10.5209/alhi.55119,2022-04-03,"1988-2351,0210-4547",0,2017-03-02,3169,NA,10.5209,Universidad Complutense de Madrid (UCM),1,Crossref,0,0,0,Literature and Literary Theory,Reinaldo Arenas prêt-à-porter: la escritura de la ropa en “Que trine Eva”,journal-article,http://dx.doi.org/10.5209/alhi.55119,NA,An. Lit. Hispanoam.,,,,NA,NA,,45,NA,NA,,NA,,NA
Anuario Mexicano de Derecho Internacional,2017-08-08,2017-08-08,2016-01-01,10.22201/iij.24487872e.2016.16.533,2022-03-29,"2448-7872,1870-4654",16,2016-01-01,9467,461,10.22201,Universidad Nacional Autonoma de Mexico,1,Crossref,0,0,0,Law,As novas tecnologias da informação e comunicação entre a promessa de liberdade e o risco de controle total: estudo da jurisprudência do sistema interamericano de direitos humanos,journal-article,http://dx.doi.org/10.22201/iij.24487872e.2016.16.533,"<jats:p>O artigo tem como objetivo analisar dois fenômenos da sociedade da informação: a liberdade total e o controle total das comunicações e conteúdos de usuários da rede. Diante disso, almeja-se responder de que maneira o Sistema Interamericano de Proteção dos Direitos Humanos trabalha com a dialética entre liberdade e vigilância por meio das novas tecnologias de informação e comunicação. Utiliza-se o método dialético de abordagem e o método de procedimento comparativo. Ao fim, conclui-se que, ao defender a ideia de regulação normativa das formas de controle sobre comunicações e dados, o Sistema Interamericano acredita na eficácia e autonomia do direito frente ao poder e aos interesses de outros sistemas sociais que se revelem contrários aos direitos humanos.</jats:p>",AMDI,,,,NA,NA,,1,NA,NA,,NA,,NA
Social Science &amp; Medicine,2018-09-16,2022-09-01,NA,10.1016/j.socscimed.2018.09.025,2023-04-22,0277-9536,NA,2018-11,78,107-113,10.1016,Elsevier BV,1,Crossref,34,34,16,"History and Philosophy of Science,Health (social science)",Social support and chronic disease management among older adults of Mexican heritage: A U.S.-Mexico perspective,journal-article,http://dx.doi.org/10.1016/j.socscimed.2018.09.025,NA,Social Science &amp; Medicine,,,,S027795361830515X,en,,216,2018-11,http://dx.doi.org/10.1016/elsevier_cm_policy,,NA,,NA
Energy Research &amp; Social Science,2018-03-30,2021-04-30,NA,10.1016/j.erss.2018.03.018,2023-04-16,2214-6296,NA,2018-08,78,138-146,10.1016,Elsevier BV,1,Crossref,83,83,23,"Social Sciences (miscellaneous),Energy Engineering and Power Technology,Fuel Technology,Nuclear Energy and Engineering,Renewable Energy, Sustainability and the Environment",Urgency in energy justice: Contestation and time in prospective shale extraction in the United States and United Kingdom,journal-article,http://dx.doi.org/10.1016/j.erss.2018.03.018,NA,Energy Research &amp; Social Science,,,,S2214629618302871,en,,42,2018-08,http://dx.doi.org/10.1016/elsevier_cm_policy,,NA,,NA
Land Use Policy,2018-04-09,2019-01-29,NA,10.1016/j.landusepol.2017.07.027,2023-04-19,0264-8377,NA,2018-05,78,88-96,10.1016,Elsevier BV,1,Crossref,120,120,32,"Management, Monitoring, Policy and Law,Nature and Landscape Conservation,Geography, Planning and Development,Forestry","Comparison of social-ecological resilience between two grassland management patterns driven by grassland land contract policy in the Maqu, Qinghai-Tibetan Plateau",journal-article,http://dx.doi.org/10.1016/j.landusepol.2017.07.027,NA,Land Use Policy,,,,S0264837717304362,en,,74,2018-05,http://dx.doi.org/10.1016/elsevier_cm_policy,,NA,,NA
European Journal of Social Theory,2016-09-17,2021-01-05,2016-09-16,10.1177/1368431016668869,2023-03-27,"1368-4310,1461-7137",4,2016-09-16,179,511-530,10.1177,SAGE Publications,1,Crossref,78,78,14,Sociology and Political Science,On the reflexivity of crises,journal-article,http://dx.doi.org/10.1177/1368431016668869,"<jats:p> The main aim of this article is to offer a sociological concept of crisis that, defined as the expected yet non-lineal outcome of the internal dynamics of modern societies, builds on the synergies between critical theory and systems theory. It contends that, notwithstanding important differences, both traditions concur in addressing crises as a form of self-reproduction of social systems as much as a form of engagement with the complexities and effects of such processes of reproduction. In order to make our comparison exhaustive, this article explores critical and systems theories’ notions of crisis at three levels: (1) their conceptual delimitation of crises; (2) their methodological proposals to empirically observe crises; and (3) their normative attempts to contribute to their resolution. As crises remain a distinctive structural feature of the social world and a rich source of knowledge about it, reflexivity must be seen as a crucial form of engagement with the negative expressions of social life itself. </jats:p>",European Journal of Social Theory,,,,10.1177/1368431016668869,en,,20,2017-11,http://dx.doi.org/10.1177/sage-journals-update-policy,,Lessons from critical theory and systems theory,,NA
